Game Name,Tier,Rank,LP
French Touch,IRON,II,275
LuFreWaffle,BRONZE,III,569
Foxheros,BRONZE,IV,479
MastLenz,IRON,II,246
KelbenArunsun,IRON,I,306
Ofreakk,BRONZE,IV,400
Dando Por Shac0,SILVER,III,902
Holmströrm,IRON,III,129
a1372,BRONZE,I,745
Darkmed,BRONZE,III,565
Stukkiebrood,IRON,III,121
